customer_id,name,email,phone,location,signup_date,is_premium,preferred_cuisine,total_orders,average_rating
C001,Timothy,timothy@gmail.com,7077107836,"H.No. 591, Gour Marg, Cuttack, ODISHA",2023-01-02,False,italian,6,3.6
C002,Gunbir,gunbir@gmail.com,9088685024,"88/002, Morar Circle, Sultan Pur Majra, GOA",2021-02-16,True,chinese,4,3.4
C003,Qadim@0,qadim@gmail.com,9088487610,"778, Choudhary Nagar, Gurgaon, SIKKIM",2023-04-25,True,mexican,7,2.3
C004,Leela,leela@gmail.com,7094534770,"03
Wason Ganj, Bhubaneswar, HARYANA",2020-11-04,False,mexican,8,2.5
C005,Hemangini,hemangini@gmail.com,9084382786,"52/91
Borra Nagar, Proddatur, GOA",2020-02-27,True,mexican,2,3.3
C006,Elijah,elijah@gmail.com,6030291640,"212, Hora Road, Kulti, KARNATAKA",2022-04-15,False,indian,4,4.9
C007,Saksham,saksham@gmail.com,6033599408,"06/95, Iyer, Avadi, ASSAM",2024-05-01,False,indian,2,2.2
C008,Yamini,yamini@gmail.com,7099093844,"H.No. 277
Dubey Zila, Tiruvottiyur, KARNATAKA",2024-10-19,True,indian,7,3.9
C009,Aarna,aarna@gmail.com,9053368400,"72/12, Khare Road, Katni, TRIPURA",2022-06-23,True,italian,1,1.2
C010,Maanas,maanas@gmail.com,9078884616,"019, Raj Marg, Jammu, CHHATTISGARH",2024-05-13,False,mexican,10,3.6
C011,Gautam,gautam@gmail.com,8041824776,"384, Yadav Nagar, Phagwara, TELANGANA",2023-04-20,True,italian,5,4.6
C012,Lucky@0,lucky@gmail.com,8089233345,"H.No. 68, Yogi Road, Bhusawal, GUJARAT",2024-07-18,True,italian,4,3.0
C013,Azad@0,azad@gmail.com,9071304710,"60, Nadig, Jhansi, ANDHRA PRADESH",2023-09-23,False,indian,5,5.0
C014,Balvan,balvan@gmail.com,7081784994,"68, Pillai Path, Kolkata, CHHATTISGARH",2020-10-05,True,indian,6,1.2
C015,Baghyawati,baghyawati@gmail.com,8051898847,"94, Venkataraman Ganj, Giridih, MADHYA PRADESH",2023-08-14,False,chinese,7,1.9
C016,Vamakshi,vamakshi@gmail.com,6057275162,"41
Rastogi Marg, Tirupati, UTTAR PRADESH",2025-01-01,True,indian,3,2.0
C017,Harinakshi,harinakshi@gmail.com,6014276183,"31, Gala Circle, Gorakhpur, ANDHRA PRADESH",2022-10-06,False,italian,2,1.5
C018,Aarini,aarini@gmail.com,8069418401,"07/62, Dayal Ganj, Barasat, MANIPUR",2021-02-27,True,chinese,10,3.4
C019,Shivansh,shivansh@gmail.com,6065296124,"30/52, Chakraborty Marg, Amaravati, TRIPURA",2022-10-28,True,italian,4,2.4
C020,Yoshita,yoshita@gmail.com,8059937310,"212, Wali Circle, Raiganj, KERALA",2024-05-06,False,italian,10,1.0
C021,Advika,advika@gmail.com,6013914441,"98/477
Bal Nagar, Gandhidham, JHARKHAND",2022-06-15,True,indian,5,2.3
C022,Faras@0,faras@gmail.com,8099617799,"65, Nadkarni Circle, Sonipat, GOA",2023-08-02,True,italian,1,2.6
C023,Yahvi,yahvi@gmail.com,9028143210,"70
Borra Chowk, Ulhasnagar, MADHYA PRADESH",2024-05-06,False,mexican,7,4.8
C024,Raghav,raghav@gmail.com,7052775428,"H.No. 34, Banerjee Ganj, Nadiad, ASSAM",2023-11-17,True,chinese,3,2.8
C025,Shaurya,shaurya@gmail.com,7040872292,"76, Sankar Street, Delhi, CHHATTISGARH",2021-01-18,True,mexican,5,5.0
C026,Tejas,tejas@gmail.com,7054040373,"22/468
Sibal Nagar, Panihati, ARUNACHAL PRADESH",2020-04-17,False,mexican,4,1.6
C027,Turvi@0,turvi@gmail.com,7068669338,"10/26
Sawhney Road, Kollam, HIMACHAL PRADESH",2020-03-14,False,mexican,3,1.8
C028,Urishilla@0,urishilla@gmail.com,7072728613,"273
Saraf Nagar, Jamnagar, ASSAM",2021-11-01,False,indian,2,4.9
C029,Manthan,manthan@gmail.com,8010934293,"430
Mitra Marg, Tenali, WEST BENGAL",2022-10-24,False,indian,3,1.8
C030,Lucky@1,lucky_1@gmail.com,8014776573,"H.No. 48, Nazareth Marg, Bhiwandi, MAHARASHTRA",2022-07-11,False,italian,4,1.6
C031,Zarna,zarna@gmail.com,7056002785,"63, Bhargava Street, Baranagar, ARUNACHAL PRADESH",2023-12-31,True,italian,7,2.6
C032,Watika,watika@gmail.com,8076823775,"H.No. 96, Mannan, Dewas, UTTARAKHAND",2022-01-04,False,mexican,2,1.9
C033,Urishilla@1,urishilla_1@gmail.com,6033580732,"43
Kapur Nagar, Burhanpur, PUNJAB",2023-08-08,True,chinese,3,4.8
C034,Robert@0,robert@gmail.com,8053716113,"48
Sane Circle, Rajahmundry, MIZORAM",2024-12-10,False,italian,6,2.5
C035,Sara,sara@gmail.com,9033451049,"H.No. 54, Mane, South Dumdum, MAHARASHTRA",2020-12-01,False,chinese,10,4.8
C036,Lucky@2,lucky_2@gmail.com,7046682768,"H.No. 99
Tiwari Ganj, Bettiah, ASSAM",2021-07-22,False,indian,3,3.4
C037,Bachittar,bachittar@gmail.com,9016547193,"H.No. 632, Chandran Marg, Bahraich, MADHYA PRADESH",2020-07-01,True,chinese,10,2.0
C038,Nandini,nandini@gmail.com,9017611066,"38/79, Morar Circle, Berhampore, KERALA",2021-07-18,True,mexican,8,2.8
C039,Tristan,tristan@gmail.com,7071742631,"48/45
Agate, Bhusawal, MAHARASHTRA",2024-06-06,True,chinese,10,2.0
